"Saharan_dust.Fark_Max" "Saharan_dust.Fark_Min" "Saharan_dust.Abs_Total" "DATE" "MONTH" "YEAR" "FULLTIME"
"303" 0 -4.299988 4.299988 29 10 2008 "29.10.2008_00:00"
"304" 0 0 0 30 10 2008 "30.10.2008_00:00"
"305" 0 0 0 31 10 2008 "31.10.2008_00:00"
"306" 0 -5.899963 5.899963 1 11 2008 "01.11.2008_00:00"
"307" 0 -2.5 2.5 2 11 2008 "02.11.2008_00:00"
"308" -1.5 -3.400024 4.900024 3 11 2008 "03.11.2008_00:00"
"309" -0.400024 -2.599976 3 4 11 2008 "04.11.2008_00:00"
"310" 0 0 0 5 11 2008 "05.11.2008_00:00"
"311" 0 -0.5 0.5 6 11 2008 "06.11.2008_00:00"
"312" -2 0 2 7 11 2008 "07.11.2008_00:00"
"313" -3.799927 0 3.799927 8 11 2008 "08.11.2008_00:00"
"314" -3.200073 0 3.200073 9 11 2008 "09.11.2008_00:00"
"315" -2.400024 0 2.400024 10 11 2008 "10.11.2008_00:00"
"316" -1.5 0 1.5 11 11 2008 "11.11.2008_00:00"
"317" -0.200073 0 0.200073 12 11 2008 "12.11.2008_00:00"
"318" -1.700012 -7.600037 9.300049 13 11 2008 "13.11.2008_00:00"
"319" 0 -13.600037 13.600037 14 11 2008 "14.11.2008_00:00"
"320" 0 -11.299988 11.299988 15 11 2008 "15.11.2008_00:00"
"321" 0 -7.499939 7.499939 16 11 2008 "16.11.2008_00:00"
"322" 0 -5.700012 5.700012 17 11 2008 "17.11.2008_00:00"
"323" -4.699951 -5.299988 9.999939 18 11 2008 "18.11.2008_00:00"
"324" -2.799988 -2.200012 5 19 11 2008 "19.11.2008_00:00"
"325" -2.600037 -3.099976 5.700013 20 11 2008 "20.11.2008_00:00"
"326" -1.700012 -3.5 5.200012 21 11 2008 "21.11.2008_00:00"
"327" -3.299988 -8.200012 11.5 22 11 2008 "22.11.2008_00:00"
"328" -6.599976 -6.200012 12.799988 23 11 2008 "23.11.2008_00:00"
"329" -4.799988 0 4.799988 24 11 2008 "24.11.2008_00:00"
"330" -2.600037 -4.699951 7.299988 25 11 2008 "25.11.2008_00:00"
"331" 0 -9.200012 9.200012 26 11 2008 "26.11.2008_00:00"
"332" -7.100037 -11.700012 18.800049 27 11 2008 "27.11.2008_00:00"
"333" -2.900024 -8.700012 11.600036 28 11 2008 "28.11.2008_00:00"
"334" 0 0 0 29 11 2008 "29.11.2008_00:00"
"335" -0.5 0 0.5 30 11 2008 "30.11.2008_00:00"
"336" -0.299927 -0.600037 0.899964 1 12 2008 "01.12.2008_00:00"
"337" -0.800049 0 0.800049 2 12 2008 "02.12.2008_00:00"
"338" -1.199951 0 1.199951 3 12 2008 "03.12.2008_00:00"
"339" -3.200073 -6.599976 9.800049 4 12 2008 "04.12.2008_00:00"
"340" -3.000061 0 3.000061 5 12 2008 "05.12.2008_00:00"
"341" -2.200073 0 2.200073 6 12 2008 "06.12.2008_00:00"
"342" -5.299988 -2.900024 8.200012 7 12 2008 "07.12.2008_00:00"
"343" -4.099976 -8.800049 12.900025 8 12 2008 "08.12.2008_00:00"
"344" -2.200012 -1.800049 4.000061 9 12 2008 "09.12.2008_00:00"
"345" 0 -3.900024 3.900024 10 12 2008 "10.12.2008_00:00"
"346" 0 -6.700012 6.700012 11 12 2008 "11.12.2008_00:00"
"347" -0.099976 -11.5 11.599976 12 12 2008 "12.12.2008_00:00"
"348" -2 0 2 13 12 2008 "13.12.2008_00:00"
"349" -2.799988 0 2.799988 14 12 2008 "14.12.2008_00:00"
"350" -2.300049 -4.100037 6.400086 15 12 2008 "15.12.2008_00:00"
"351" 0 -12.799988 12.799988 16 12 2008 "16.12.2008_00:00"
"352" 0 -3.799988 3.799988 17 12 2008 "17.12.2008_00:00"
"353" -1.5 -9.700012 11.200012 18 12 2008 "18.12.2008_00:00"
"354" -2.800049 -5.799988 8.600037 19 12 2008 "19.12.2008_00:00"
"355" -3.200012 -6.200012 9.400024 20 12 2008 "20.12.2008_00:00"
"356" -6.099976 -4.099976 10.199952 21 12 2008 "21.12.2008_00:00"
"357" -9.400024 -14.699951 24.099975 22 12 2008 "22.12.2008_00:00"
"358" -2.900024 -7.299988 10.200012 23 12 2008 "23.12.2008_00:00"
"359" -6 -12.300049 18.300049 24 12 2008 "24.12.2008_00:00"
"360" -0.600037 -0.900024 1.500061 25 12 2008 "25.12.2008_00:00"
"361" 0 -12.5 12.5 26 12 2008 "26.12.2008_00:00"
"362" 0 -14.300049 14.300049 27 12 2008 "27.12.2008_00:00"
"363" -3.199951 -11.799988 14.999939 28 12 2008 "28.12.2008_00:00"
"364" -8.800049 -6.599976 15.400025 29 12 2008 "29.12.2008_00:00"
"365" -7 -5 12 30 12 2008 "30.12.2008_00:00"
"366" -1.5 -2.5 4 31 12 2008 "31.12.2008_00:00"
"367" 0 -4.099976 4.099976 1 1 2009 "01.01.2009_00:00"
"368" 0 -6.099976 6.099976 2 1 2009 "02.01.2009_00:00"
"369" -2.700073 -13.5 16.200073 3 1 2009 "03.01.2009_00:00"
"370" -5.800049 -11.800049 17.600098 4 1 2009 "04.01.2009_00:00"
"371" -4.099976 -2.099976 6.199952 5 1 2009 "05.01.2009_00:00"
"372" -6.900024 -11 17.900024 6 1 2009 "06.01.2009_00:00"
"373" -7 -13.900024 20.900024 7 1 2009 "07.01.2009_00:00"
"374" 0 -11.599976 11.599976 8 1 2009 "08.01.2009_00:00"
"375" -8.399902 -9.800049 18.199951 9 1 2009 "09.01.2009_00:00"
